IMDbPro_ID,MPAA,genres,in_release_period,movie_name,opening_money,release_date,running_time,widest_release
tt0472033,PG-13,"Action, Adventure, Animation, Drama, Family, Horror, Mystery, Sci, Fi",121.0,9,10740446,"Sep 9, 2009 - Dec 3, 2009",1.3166666666666667,2060
tt1343362,na,"Comedy, Drama",91.0,Do Knot Disturb,124691,"Oct 2, 2009 - Oct 11, 2009",2.1,57
tt1034303,R,"Action, Drama, History, Thriller, War",366.0,Defiance,123513,"Oct 2, 2009 - Oct 11, 2009",2.283333333333333,1793
tt1196707,na,"Biography, Documentary, Music",216.0,Trying to Get Good: The Jazz Odyssey of Jack Sheldon,4792,"May 30, 2008 - Jun 15, 2008",1.5,1
tt0832266,PG-13,"Comedy, Drama, Romance",322.0,"Definitely, Maybe",9764270,"Feb 14, 2008 - Apr 10, 2008",1.8666666666666667,2220
tt1905041,PG-13,"Action, Adventure, Crime, Thriller",222.0,Fast & Furious 6,97375245,"May 24, 2013 - Sep 5, 2013",2.1666666666666665,3771
tt2674040,R,Documentary,105.0,Keep on Keepin' On,12930,"Sep 19, 2014 - Dec 18, 2014",1.4,9
tt0425413,PG-13,"Comedy, Romance, Sport",279.0,"Run, Fat Boy, Run",2340743,"Mar 28, 2008 - May 22, 2008",1.6666666666666665,1133
tt2980648,PG,"Comedy, Drama",147.0,The Hundred-Foot Journey,10979290,"Aug 8, 2014 - Dec 4, 2014",2.033333333333333,2167
tt0881891,PG-13,"Comedy, Romance",126.0,All About Steve,11241214,"Sep 4, 2009 - Dec 10, 2009",1.65,2265
tt2467046,PG-13,"Action, Drama, Fantasy, Mystery, Thriller",91.0,Left Behind,6300147,"Oct 3, 2014 - Dec 11, 2014",1.8333333333333335,1887
tt1551630,R,"Action, Crime, Mystery, Thriller",257.0,Pawn,2137,"Apr 19, 2013 - Apr 23, 2013",1.4666666666666668,1
tt1010048,R,"Drama, Romance",415.0,Slumdog Millionaire,360018,"Apr 19, 2013 - Apr 23, 2013",2.0,2943
tt0039155,na,"Comedy, Drama",98.0,Antoine and Antoinette,4147,"Sep 25, 2013 - Oct 24, 2013",1.3,1
tt0364970,PG-13,"Action, Adventure, Sci, Fi, Thriller",126.0,Babylon A.D.,9484627,"Aug 29, 2008 - Nov 16, 2008",1.5,3425
tt0810784,PG,"Biography, Drama, Romance",114.0,Bright Star,189703,"Sep 16, 2009 - Dec 10, 2009",1.9833333333333334,380
tt1690953,PG,"Adventure, Animation, Comedy, Family, Fantasy, Sci, Fi",547.0,Despicable Me 2,83517315,"Jul 3, 2013 - Jan 16, 2014",1.6333333333333333,4003
tt2978462,PG,"Drama, Family",112.0,Dolphin Tale 2,15873397,"Sep 12, 2014 - Dec 18, 2014",1.7833333333333332,3656
tt1907668,R,"Drama, Thriller",425.0,Flight,24900566,"Nov 2, 2012 - Feb 14, 2013",2.3,2638
tt1046173,PG-13,"Action, Adventure, Sci, Fi, Thriller",147.0,G.I. Joe: The Rise of Cobra,54713046,"Aug 7, 2009 - Nov 5, 2009",1.9666666666666668,4007
tt1211956,R,"Action, Thriller",440.0,Escape Plan,9885732,"Oct 18, 2013 - Jan 16, 2014",1.9166666666666665,2883
tt3165608,PG,"Documentary, Music",372.0,Justin Bieber's Believe,2007567,"Dec 25, 2013 - Jan 16, 2014",1.5333333333333332,1037
tt2530936,na,"Adventure, Comedy, Documentary",134.0,The Expedition to the End of the World,6635,"Aug 20, 2014 - Nov 6, 2014",1.5,4
tt2609758,PG-13,"Comedy, Drama, Romance",384.0,A Madea Christmas,16007634,"Dec 13, 2013 - Feb 13, 2014",1.6666666666666665,2194
tt1778924,PG,"Drama, Romance",117.0,The Ultimate Life,659912,"Sep 6, 2013 - Oct 10, 2013",1.75,412
tt2101441,R,"Crime, Drama",292.0,Spring Breakers,263002,"Sep 6, 2013 - Oct 10, 2013",1.5666666666666667,1379
tt0765010,R,"Action, Drama, Thriller, War",393.0,Brothers,9527848,"Dec 4, 2009 - Jan 21, 2010",1.75,2088
tt1891769,na,"Adventure, Animation, Drama, Family, Fantasy",236.0,The Painting,3626,"May 10, 2013 - Jun 6, 2013",1.2666666666666666,6
tt1817276,R,"Horror, Thriller",285.0,A Resurrection,7300,"Mar 22, 2013",1.4833333333333334,17
tt1939659,R,"Drama, Horror",77.0,Carrie,16101552,"Oct 18, 2013 - Nov 24, 2013",1.6666666666666665,3157
tt0844479,R,"Horror, Thriller",154.0,The Collector,3576296,"Jul 31, 2009 - Sep 24, 2009",1.5,1325
tt0479044,na,"Crime, Documentary",343.0,Crips and Bloods: Made in America,10537,"Jan 23, 2009 - Apr 2, 2009",1.55,4
tt1869425,R,"Drama, Music",257.0,Filly Brown,1478323,"Apr 19, 2013 - May 30, 2013",1.3333333333333333,259
tt0119528,PG-13,"Comedy, Fantasy",286.0,Liar Liar,31423025,"Mar 21, 1997 - Oct 16, 1997",1.4333333333333333,2909
tt1142800,PG-13,"Comedy, Crime, Drama",315.0,Madea Goes to Jail,41030947,"Feb 20, 2009 - Apr 23, 2009",1.7166666666666668,2203
tt1800246,R,"Comedy, Romance",335.0,That Awkward Moment,8742109,"Jan 31, 2014 - Apr 3, 2014",1.5666666666666667,2809
tt2170299,R,"Comedy, Drama",293.0,Bad Words,113301,"Jan 31, 2014 - Apr 3, 2014",1.4833333333333334,1074
tt0844671,R,Comedy,126.0,College,2153109,"Aug 29, 2008 - Nov 13, 2008",1.5666666666666667,2124
tt1758595,PG-13,"Biography, Drama, Romance",63.0,Diana,67754,"Nov 1, 2013 - Nov 28, 2013",1.8833333333333333,100
tt1225822,R,"Comedy, Crime, Romance",119.0,Extract,4340108,"Sep 4, 2009 - Oct 15, 2009",1.5333333333333332,1614
tt1477715,PG,"Documentary, Drama, Music",72.0,This Is It,23234394,"Oct 28, 2009 - Dec 3, 2009",1.85,3481
tt1649419,PG-13,"Drama, History, Thriller",376.0,The Impossible,143818,"Oct 28, 2009 - Dec 3, 2009",1.9,886
tt2261409,na,Comedy,194.0,Made in Cleveland,3411,"Jun 21, 2013 - Jul 11, 2013",1.8833333333333333,5
tt0465538,R,"Crime, Drama, Mystery, Thriller",454.0,Michael Clayton,719910,"Jun 21, 2013 - Jul 11, 2013",1.9833333333333334,2585
tt1082868,R,"Horror, Thriller",84.0,Quarantine,14211321,"Oct 10, 2008 - Nov 16, 2008",1.4833333333333334,2463
tt0814314,PG-13,Drama,378.0,Seven Pounds,14851136,"Dec 19, 2008 - Jan 25, 2009",2.05,2758
tt1191138,na,"Comedy, Drama, Family, Fantasy, Romance",188.0,Thoda Pyaar Thoda Magic,181610,"Jun 27, 2008 - Jul 10, 2008",2.4166666666666665,68
tt1171222,PG-13,"Comedy, Romance",98.0,Baggage Claim,9031102,"Sep 27, 2013 - Dec 19, 2013",1.6,2230
tt0806203,PG-13,"Adventure, Drama, Thriller",119.0,Carriers,76857,"Sep 4, 2009 - Sep 10, 2009",1.4,100
tt2417560,na,Comedy,209.0,Filmistaan,31113,"Jun 6, 2014 - Jun 19, 2014",1.95,24
tt0079820,na,"Animation, Family, Fantasy, Romance",406.0,The King and the Mockingbird,3721,"Nov 21, 2014 - Feb 8, 2015",1.3833333333333333,8
tt2034139,PG-13,"Horror, Thriller",306.0,The Last Exorcism Part II,7728354,"Mar 1, 2013 - Apr 4, 2013",1.4666666666666668,2700
tt0477348,R,"Crime, Drama, Thriller",419.0,No Country for Old Men,1202000,"Mar 1, 2013 - Apr 4, 2013",2.033333333333333,2037
tt1441951,PG-13,"Comedy, Drama",355.0,Quartet,47122,"Mar 1, 2013 - Apr 4, 2013",1.6333333333333333,725
tt1024648,R,"Biography, Drama, Thriller",446.0,Argo,19458109,"Oct 12, 2012 - Apr 24, 2013",2.0,3247
tt0482463,PG-13,"Drama, Romance",433.0,Bella,1328448,"Oct 26, 2007 - Jul 2, 2008",1.5166666666666666,457
tt2053463,R,"Crime, Drama, Mystery, Thriller",327.0,Side Effects,9303145,"Feb 8, 2013 - May 16, 2013",1.7666666666666666,2605
tt0997047,na,"Adventure, Comedy, Drama, Family",300.0,College Road Trip,13601419,"Mar 7, 2008 - Jul 31, 2008",1.3833333333333333,2706
tt1321870,R,"Action, Crime, Drama, Thriller",355.0,Gangster Squad,17070347,"Jan 11, 2013 - Apr 4, 2013",1.8833333333333333,3103
tt2387513,na,"Biography, Drama, History",90.0,The Liberator,69992,"Oct 3, 2014 - Oct 12, 2014",1.9833333333333334,77
tt0866439,PG-13,"Comedy, Romance",244.0,Made of Honor,14756850,"May 2, 2008 - Jun 29, 2008",1.6833333333333333,2816
tt1032755,R,"Action, Crime, Thriller",86.0,RocknRolla,144701,"May 2, 2008 - Jun 29, 2008",1.9,826
tt2312890,R,"Comedy, Drama",124.0,Afternoon Delight,27352,"Aug 30, 2013 - Sep 22, 2013",1.6333333333333333,39
tt1272878,R,"Action, Comedy, Thriller",152.0,2 Guns,27059130,"Aug 2, 2013 - Oct 24, 2013",1.8166666666666667,3028
tt0765429,R,"Biography, Crime, Drama, Thriller",426.0,American Gangster,43565135,"Nov 2, 2007 - Jan 31, 2008",2.6166666666666667,3110
tt1198405,PG,"Documentary, Sport",77.0,Morning Light,129295,"Oct 17, 2008 - Nov 25, 2008",1.6666666666666665,55
tt0892375,na,"Documentary, Music",74.0,U2 3D,946000,"Oct 17, 2008 - Nov 25, 2008",1.4166666666666667,686
tt1131729,R,"Comedy, Drama, Music",414.0,Pirate Radio,2904380,"Nov 13, 2009 - Jan 7, 2010",2.25,883
tt0988595,PG-13,"Comedy, Romance",349.0,27 Dresses,23007725,"Jan 18, 2008 - May 29, 2008",1.85,3074
tt0844286,PG-13,"Action, Adventure, Comedy, Crime, Drama, Romance",231.0,The Brothers Bloom,90400,"May 15, 2009 - Aug 6, 2009",1.9,209
tt1082601,PG-13,"Action, Crime, Drama, Romance, Sport",252.0,Fighting,11024370,"Apr 24, 2009 - Jun 11, 2009",1.75,2312
tt1951181,R,"Drama, Romance",230.0,The Immigrant,44064,"May 16, 2014 - Jul 3, 2014",2.0,150
tt1959490,PG-13,"Action, Adventure, Drama, Romance, Thriller",279.0,Noah,43720472,"Mar 28, 2014 - Jun 19, 2014",2.3,3571
tt0417741,PG,"Action, Adventure, Family, Fantasy, Mystery",177.0,Harry Potter and the Half-Blood Prince,77835727,"Jul 15, 2009 - Dec 17, 2009",2.55,4455
tt1833673,na,"Action, Thriller",377.0,Dhoom 3,3423508,"Dec 20, 2013 - Jan 12, 2014",2.8666666666666667,239
tt0492956,PG,"Comedy, Family, Sport",461.0,The Game Plan,22950971,"Sep 28, 2007 - Feb 18, 2008",1.8333333333333335,3342
tt1538403,PG-13,"Action, Fantasy, Horror, Mystery, Romance",133.0,The Mortal Instruments: City of Bones,9336957,"Aug 21, 2013 - Oct 6, 2013",2.1666666666666665,3118
tt0955306,R,"Drama, Romance",70.0,Noah's Arc: Jumping the Broom,151337,"Oct 24, 2008 - Dec 18, 2008",1.6833333333333333,9
tt1756750,R,"Comedy, Drama, Romance",285.0,Starbuck,15530,"Mar 22, 2013 - May 23, 2013",1.8166666666666667,32
tt2309961,R,"Horror, Mystery, Thriller",272.0,Afflicted,69447,"Apr 4, 2014 - Apr 13, 2014",1.4166666666666667,44
tt1764183,R,"Drama, Thriller",474.0,Arbitrage,2002165,"Sep 14, 2012 - Jan 17, 2013",1.7833333333333332,256
tt2562232,R,"Comedy, Drama",441.0,Birdman or (The Unexpected Virtue of Ignorance),424397,"Sep 14, 2012 - Jan 17, 2013",1.9833333333333334,1213
tt1391544,na,"Comedy, Drama",301.0,Dhoondte Reh Jaoge,5126,"Mar 6, 2009 - Mar 8, 2009",2.183333333333333,10
tt0119654,PG-13,"Action, Adventure, Comedy, Sci, Fi",184.0,Men in Black,51068455,"Jul 2, 1997",1.6333333333333333,3180
tt0483756,R,"Comedy, Crime, Drama, Thriller",28.0,Nobel Son,333912,"Dec 5, 2008 - Dec 24, 2008",1.8333333333333335,893
tt1385824,na,"Drama, Horror, Mystery, Sci, Fi, Thriller",301.0,13B: Fear Has a New Address,11056,"Mar 6, 2009 - Apr 2, 2009",2.3,6
tt0064285,na,Drama,246.0,The Wild Child,6680,"Nov 7, 2008",1.3833333333333333,2
tt1190617,PG-13,"Comedy, Fantasy",91.0,An American Carol,3810000,"Oct 3, 2008 - Nov 12, 2008",1.3833333333333333,1639
tt1095174,PG,"Comedy, Romance",336.0,New in Town,6741530,"Jan 30, 2009 - Mar 26, 2009",1.6166666666666667,1941
tt2677816,na,"Comedy, Crime",271.0,Settai,52386,"Apr 5, 2013 - May 2, 2013",2.2666666666666666,33
tt2170593,PG-13,"Comedy, Drama",448.0,St. Vincent,109878,"Apr 5, 2013 - May 2, 2013",1.7,2552
tt2167266,PG-13,"Biography, Drama",105.0,Tracks,21544,"Sep 19, 2014 - Nov 27, 2014",1.8666666666666667,67
tt1396209,na,Documentary,140.0,American Casino,1397,"Aug 14, 2009 - Nov 1, 2009",1.4833333333333334,3
tt0799934,PG-13,Comedy,314.0,Be Kind Rewind,4100000,"Feb 22, 2008 - May 1, 2008",1.7,810
tt0800039,R,"Comedy, Drama, Romance",258.0,Forgetting Sarah Marshall,17725330,"Apr 18, 2008 - Jul 10, 2008",1.85,2872
tt2528814,PG,Drama,286.0,God's Not Dead,9217013,"Mar 21, 2014 - Aug 7, 2014",1.8833333333333333,1860
tt2070862,PG-13,"Drama, Thriller",278.0,Temptation: Confessions of a Marriage Counselor,21641679,"Mar 29, 2013 - May 30, 2013",1.85,2047
tt2799166,R,"Action, Adventure, Horror, Mystery, Thriller",392.0,The Pyramid,1369935,"Mar 29, 2013 - May 30, 2013",1.4833333333333334,685
tt1142988,R,"Comedy, Romance",161.0,The Ugly Truth,27605576,"Jul 24, 2009 - Oct 4, 2009",1.6,2975
tt0373051,PG,"Action, Adventure, Family, Fantasy, Sci, Fi",175.0,Journey to the Center of the Earth,21018141,"Jul 11, 2008 - Dec 11, 2008",1.55,2830
tt1230155,PG-13,Comedy,92.0,Nobody,1336,"Oct 1, 2009",1.4666666666666668,1
tt1980209,R,"Action, Comedy, Crime, Drama",250.0,Pain & Gain,20244505,"Apr 26, 2013 - Aug 29, 2013",2.15,3303
tt1031969,PG-13,"Comedy, Music",134.0,The Rocker,2636048,"Aug 20, 2008 - Oct 16, 2008",1.7,2784
tt0469903,PG,"Biography, Drama, Sport",84.0,The Express,4562675,"Oct 10, 2008 - Nov 6, 2008",2.1666666666666665,2810
tt0368794,R,"Biography, Drama, Music",407.0,I'm Not There,730819,"Nov 21, 2007 - Mar 6, 2008",2.25,149
tt1045658,R,"Comedy, Drama, Romance",411.0,Silver Linings Playbook,443003,"Nov 21, 2007 - Mar 6, 2008",2.033333333333333,2809
tt1074638,PG-13,"Action, Adventure, Thriller",418.0,Skyfall,88364714,"Nov 9, 2012 - Mar 10, 2013",2.3833333333333333,3526
tt1286821,PG,"Biography, Documentary, Sport",98.0,More Than a Game,182943,"Oct 2, 2009 - Nov 24, 2009",1.75,111
tt0937375,PG-13,"Comedy, Drama, Romance",407.0,This Christmas,17958183,"Nov 21, 2007 - Jan 6, 2008",1.95,1921
tt1853614,na,"Adventure, Animation, Comedy, Drama, Family, Fantasy",162.0,A Letter to Momo,4596,"Jul 23, 2014 - Oct 9, 2014",2.0,7
tt0465580,PG-13,"Action, Sci, Fi, Thriller",329.0,Push,10079109,"Feb 6, 2009 - May 14, 2009",1.85,2313
tt0821642,PG-13,"Biography, Drama, Music",252.0,The Soloist,9716458,"Apr 24, 2009 - Jul 9, 2009",1.95,2090
tt0841032,PG,"Comedy, Family, Fantasy, Romance",386.0,The Perfect Holiday,2283360,"Dec 12, 2007 - Feb 7, 2008",1.6,1307
tt0420238,na,"Adventure, Animation, Comedy, Family, Fantasy",378.0,The Tale of Despereaux,10103675,"Dec 19, 2008 - Mar 5, 2009",1.55,3107
tt0114709,na,"Adventure, Animation, Comedy, Family, Fantasy",91.0,Toy Story,12491789,"Oct 2, 2009 - Nov 5, 2009",1.35,1752
tt2305051,R,"Biography, Drama",394.0,Wild,606810,"Oct 2, 2009 - Nov 5, 2009",1.9166666666666665,1361
tt1127180,PG-13,"Horror, Thriller",217.0,Drag Me to Hell,15825480,"May 29, 2009 - Aug 6, 2009",1.65,2510
tt0119116,PG-13,"Action, Adventure, Sci, Fi",237.0,The Fifth Element,17031345,"May 9, 1997",2.1,2500
tt2039393,R,"Crime, Drama, Thriller",372.0,The Gambler,9129999,"Dec 25, 2014 - Feb 19, 2015",1.85,2494
tt0479952,PG,"Adventure, Animation, Comedy, Family",420.0,Madagascar: Escape 2 Africa,63106589,"Nov 7, 2008 - Feb 26, 2009",1.4833333333333334,4065
tt1237838,R,"Comedy, Crime, Mystery",491.0,Mystery Team,7840,"Aug 28, 2009 - Mar 18, 2010",1.6166666666666667,4
tt1019452,R,"Comedy, Drama",456.0,A Serious Man,251337,"Oct 2, 2009 - Jan 7, 2010",1.7666666666666666,262
tt0780511,PG-13,Drama,35.0,Everybody's Fine,3852068,"Dec 4, 2009 - Dec 24, 2009",1.65,2141
tt2444946,PG-13,"Documentary, Drama",665.0,Girl Rising,81640,"Mar 7, 2013 - Mar 20, 2014",1.6833333333333333,170
tt1091617,PG,Documentary,258.0,Expelled: No Intelligence Allowed,2970848,"Apr 18, 2008 - Oct 19, 2008",1.5,1052
tt1837703,R,"Biography, Crime, Drama, Thriller",77.0,The Fifth Estate,1673351,"Oct 18, 2013 - Dec 5, 2013",2.1333333333333333,1769
tt1046947,PG-13,"Drama, Romance",372.0,Last Chance Harvey,97260,"Oct 18, 2013 - Dec 5, 2013",1.55,1108
tt1428538,R,"Action, Fantasy, Horror",341.0,Hansel & Gretel: Witch Hunters,19690956,"Jan 25, 2013 - Apr 25, 2013",1.4666666666666668,3375
tt1663662,PG-13,"Action, Adventure, Sci, Fi",173.0,Pacific Rim,37285325,"Jul 12, 2013 - Oct 17, 2013",2.183333333333333,3285
tt0114709,na,"Adventure, Animation, Comedy, Family, Fantasy",406.0,Toy Story,29140617,"Nov 22, 1995 - Sep 5, 2004",1.35,2574
tt2309021,R,"Drama, Horror, Thriller",96.0,We Are What We Are,13727,"Sep 27, 2013 - Oct 31, 2013",1.75,17
tt1877832,PG-13,"Action, Adventure, Sci, Fi, Thriller",223.0,X-Men: Days of Future Past,90823660,"May 23, 2014 - Oct 9, 2014",2.2,4001
tt0062043,na,Documentary,238.0,A Man Vanishes,1576,"Nov 15, 2012",2.1666666666666665,2
tt1220628,R,Comedy,105.0,I Hope They Serve Beer in Hell,366909,"Sep 25, 2009 - Nov 12, 2009",1.75,266
tt1234548,R,"Comedy, War",421.0,The Men Who Stare at Goats,12706654,"Nov 6, 2009 - Feb 4, 2010",1.5666666666666667,2453
tt1129445,PG,"Adventure, Biography, Drama, Romance",435.0,Amelia,3904047,"Oct 23, 2009 - Jan 14, 2010",1.85,1070
tt1034032,R,"Action, Sci, Fi, Thriller",119.0,Gamer,9156057,"Sep 4, 2009 - Oct 8, 2009",1.5833333333333335,2502
tt2084970,PG-13,"Biography, Drama, Thriller, War",399.0,The Imitation Game,479352,"Sep 4, 2009 - Oct 8, 2009",1.9,2402
tt1234721,PG-13,"Action, Crime, Sci, Fi, Thriller",323.0,RoboCop,21681430,"Feb 12, 2014 - May 18, 2014",1.95,3372
tt2263944,na,"Action, Adventure, Animation, Comedy, Family, Fantasy, Sci, Fi",149.0,Dragon Ball Z: Battle of Gods,296414,"Aug 5, 2014 - Aug 14, 2014",1.4166666666666667,692
tt1212007,na,Documentary,265.0,The Dhamma Brothers,3710,"Apr 11, 2008 - Jun 26, 2008",1.2666666666666666,3
tt1371081,PG-13,"Documentary, Drama",70.0,Long Shot: The Kevin Laue Story,7006,"Oct 25, 2013 - Nov 21, 2013",1.55,3
tt2872570,PG,"Action, Adventure, Documentary, Sport",56.0,On Any Sunday: The Next Chapter,320894,"Nov 7, 2014 - Nov 23, 2014",1.5,231
tt1884457,R,"Action, Crime, Thriller",320.0,The Package,1095,"Feb 15, 2013 - Feb 21, 2013",1.5833333333333335,1
tt1389096,R,"Comedy, Crime, Thriller",334.0,Stand Up Guys,1486390,"Feb 1, 2013 - Mar 7, 2013",1.5833333333333335,670
tt1058017,PG-13,"Comedy, Fantasy, Romance",98.0,The Invention of Lying,7027472,"Oct 2, 2009 - Dec 17, 2009",1.6666666666666665,1743
tt1790885,R,"Drama, Thriller",378.0,Zero Dark Thirty,417150,"Oct 2, 2009 - Dec 17, 2009",2.6166666666666667,2946
tt0115886,R,"Comedy, Drama, Romance",245.0,Children of the Revolution,31562,"May 1, 1997 - Jul 10, 1997",1.6833333333333333,59
tt1098327,PG,"Action, Adventure, Family, Fantasy, Sci, Fi, Thriller",266.0,Dragonball Evolution,4756488,"Apr 10, 2009 - Jun 4, 2009",1.4166666666666667,2181
tt2333784,PG-13,"Action, Adventure, Thriller",139.0,The Expendables 3,15879645,"Aug 15, 2014 - Oct 16, 2014",2.1,3221
tt0116866,na,"Documentary, Romance, War",235.0,Level Five,7161,"Aug 15, 2014",1.7666666666666666,2
tt0057490,na,Drama,159.0,The Servant,7859,"Jul 26, 2013 - Sep 12, 2013",1.9333333333333333,2
